method;model;directory;conf;iou;imsize;max_det;file;pix_x;pix_y;nb_det;area_tot;w_mean;h_mean
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0097.JPG;8688;5792;124;13399877;429.31451612903226;249.06451612903226
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0098.JPG;8688;5792;76;9515942;464.5;266.9078947368421
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0100.JPG;8688;5792;62;9410780;504.61290322580646;298.88709677419354
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0101.JPG;8688;5792;67;9539137;490.089552238806;288.1641791044776
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0102.JPG;8688;5792;81;10846188;470.7283950617284;281.22222222222223
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0103.JPG;8688;5792;93;13606470;498.258064516129;289.63440860215053
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0104.JPG;8688;5792;141;20352698;499.21985815602835;278.3900709219858
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0105.JPG;8688;5792;59;9398152;514.9830508474577;306.3220338983051
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0106.JPG;8688;5792;97;12411481;474.37113402061857;267.96907216494844
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0107.JPG;8688;5792;131;18113957;493.1603053435114;278.29007633587787
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0108.JPG;8688;5792;14;1752549;453.57142857142856;275.35714285714283
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0109.JPG;8688;5792;61;13372729;616.5901639344262;353.73770491803276
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0110.JPG;8688;5792;52;15127660;723.0769230769231;397.63461538461536
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0111.JPG;8688;5792;33;5189180;521.6969696969697;298.1515151515151
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0112.JPG;8688;5792;150;16969121;447.62;249.51333333333332
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0113.JPG;8688;5792;98;17096129;548.6632653061224;307.0816326530612
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0114.JPG;8688;5792;54;8861865;552.5555555555555;295.962962962963
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0115.JPG;8688;5792;132;17565324;501.0378787878788;262.530303030303
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0117.JPG;8688;5792;37;5261897;504.13513513513516;279.97297297297297
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0118.JPG;8688;5792;103;17437710;546.0873786407767;307.0
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0119.JPG;8688;5792;35;2901227;386.54285714285714;212.42857142857142
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0127.JPG;8688;5792;165;11811579;359.74545454545455;197.43030303030304
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0128.JPG;8688;5792;62;9274222;500.8709677419355;294.758064516129
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0128A.JPG;8688;5792;123;24568548;578.0081300813008;341.9512195121951
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0129.JPG;8688;5792;29;4275740;502.58620689655174;282.1034482758621
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0130.JPG;8688;5792;34;4847510;498.4117647058824;282.8235294117647
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0131.JPG;8688;5792;151;19053086;500.3973509933775;250.39072847682118
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0132.JPG;8688;5792;139;19753467;527.158273381295;267.84892086330933
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0133.JPG;8688;5792;176;26054028;519.3522727272727;279.71022727272725
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0133A.JPG;8688;5792;83;13327636;524.6024096385543;302.1807228915663
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0134.JPG;8688;5792;206;21884162;427.6650485436893;247.50485436893203
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0137.JPG;8688;5792;61;5884399;396.5245901639344;241.86885245901638
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0138.JPG;8688;5792;245;27853002;457.45714285714286;248.17142857142858
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0139.JPG;8688;5792;225;28241837;477.99111111111114;262.12888888888887
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0140.JPG;8688;5792;204;24361211;465.1470588235294;255.30882352941177
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0141.JPG;8688;5792;62;6854784;433.4516129032258;252.01612903225808
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0142.JPG;8688;5792;131;15608332;459.67175572519085;258.0763358778626
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0143.JPG;8688;5792;114;10720561;423.9736842105263;220.21052631578948
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0144.JPG;8688;5792;244;23247194;435.5409836065574;217.2172131147541
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0145.JPG;8688;5792;115;12116973;433.7304347826087;240.9304347826087
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0146.JPG;8688;5792;67;7942621;446.8059701492537;263.5970149253731
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0147.JPG;8688;5792;43;10660051;612.2325581395348;360.5813953488372
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0148.JPG;8688;5792;95;13332611;492.46315789473687;281.4526315789474
FasterRCNN;model_lepi_1.pth;Col_Box_Pap/;0.85;0.2;0;1000;Lymantriidae_drawer_0148A.JPG;8688;5792;82;10598251;459.7073170731707;279.0975609756098
